         table_name         |        column_name         |          data_type
 messages                   | conversation_id            | integer
 messages                   | sender_id                  | integer
 messages                   | message_text               | text
 messages                   | status_id                  | integer
 messages                   | created_at                 | timestamp with time zone
 messages                   | updated_at                 | timestamp with time zone
 moderator_reviews          | review_id                  | integer
 moderator_reviews          | startup_id                 | integer
 moderator_reviews          | moderator_id               | integer
 moderator_reviews          | review_status_id           | integer
 moderator_reviews          | comments                   | text
 moderator_reviews          | reviewed_at                | timestamp with time zone
 news_articles              | article_id                 | integer
 news_articles              | title                      | character varying
 news_articles              | content                    | text
 news_articles              | author_id                  | integer
 news_articles              | published_at               | timestamp with time zone
 news_articles              | updated_at                 | timestamp with time zone
 news_articles              | tags                       | character varying
 news_articles              | image_url                  | character varying
 news_likes                 | like_id                    | integer
 news_likes                 | article_id                 | integer
 news_likes                 | user_id                    | integer
 news_likes                 | created_at                 | timestamp without time zone
 news_views                 | view_id                    | integer
 news_views                 | article_id                 | integer
 news_views                 | user_id                    | integer
 news_views                 | viewed_at                  | timestamp without time zone
 notification_types         | type_id                    | integer
 notification_types         | type_name                  | character varying
 notifications              | notification_id            | integer
 notifications              | user_id                    | integer
 notifications              | type_id                    | integer
 notifications              | message                    | text
 notifications              | is_read                    | boolean
 notifications              | created_at                 | timestamp with time zone
 notifications              | read_at                    | timestamp with time zone
 payment_methods            | method_id                  | integer
 payment_methods            | method_name                | character varying
 planet_customizations      | customization_id           | integer
 planet_customizations      | startup_id                 | integer
 planet_customizations      | top_part                   | character varying
 planet_customizations      | middle_part                | character varying
 planet_customizations      | bottom_part                | character varying
 review_statuses            | status_id                  | integer
 review_statuses            | status_name                | character varying
 roles                      | role_id                    | integer
 roles                      | role_name                  | character varying
 startup_stages             | stage_id                   | integer
 startup_stages             | stage_name                 | character varying
 startup_timeline           | event_id                   | integer
 startup_timeline           | startup_id                 | integer
 startup_timeline           | title                      | character varying
 startup_timeline           | description                | text
 startup_timeline           | event_date                 | timestamp with time zone
 startup_timeline           | step_number                | integer
 startup_votes              | vote_id                    | integer
 startup_votes              | startup_id                 | integer
 startup_votes              | user_id                    | integer
 startup_votes              | vote_value                 | integer
 startup_votes              | created_at                 | timestamp with time zone
 startups                   | startup_id                 | integer
 startups                   | created_at                 | timestamp with time zone
 startups                   | updated_at                 | timestamp with time zone
 startups                   | status_id                  | integer
 startups                   | title                      | character varying
 startups                   | only_invest                | boolean
 startups                   | only_buy                   | boolean
 startups                   | direction_id               | integer
 startups                   | logo_url                   | character varying
 startups                   | both_mode                  | boolean
 startups                   | total_invested             | numeric
 startups                   | info_url                   | character varying
 startups                   | percent_amount             | numeric
 startups                   | customization_data         | jsonb
 startups                   | micro_investment_available | boolean
 startups                   | description                | text
 startups                   | total_voters               | integer
 startups                   | sum_votes                  | integer
 startups                   | moderator_comment          | text
 startups                   | for_sale                   | boolean
 startups                   | status                     | character varying
 startups                   | owner_id                   | integer
 startups                   | stage_id                   | integer
 startups                   | funding_goal               | numeric
 startups                   | amount_raised              | numeric
 startups                   | valuation                  | numeric
 startups                   | pitch_deck_url             | character varying
 startups                   | is_edited                  | boolean
 startups                   | step_number                | integer
 startups                   | logo_urls                  | jsonb
 startups                   | creatives_urls             | jsonb
 startups                   | proofs_urls                | jsonb
 startups                   | video_urls                 | jsonb
 startups                   | short_description          | text
 startups                   | terms                      | text
 startups                   | planet_image               | character varying
 subscriptions              | subscription_id            | integer
 subscriptions              | user_id                    | integer
 subscriptions              | plan_name                  | character varying
 subscriptions              | start_date                 | timestamp with time zone
 subscriptions              | end_date                   | timestamp with time zone
 subscriptions              | status                     | character varying
 subscriptions              | payment_method_id          | integer
 subscriptions              | amount                     | numeric
 subscriptions              | renewal_date               | timestamp with time zone
 transaction_types          | type_id                    | integer
 transaction_types          | type_name                  | character varying
 user_interests             | interest_id                | integer
 user_interests             | user_id                    | integer
 user_interests             | startup_id                 | integer
 user_interests             | interest_type              | character varying
 user_interests             | created_at                 | timestamp with time zone
 user_settings              | setting_id                 | integer
 user_settings              | user_id                    | integer
 user_settings              | setting_key                | character varying
 user_settings              | setting_value              | character varying
 user_statuses              | status_id                  | integer
 user_statuses              | status_name                | character varying
 users                      | user_id                    | integer
 users                      | email                      | character varying
 users                      | password_hash              | character varying
 users                      | first_name                 | character varying
 users                      | last_name                  | character varying
 users                      | phone                      | character varying
 users                      | role_id                    | integer
 users                      | profile_picture_url        | character varying
 users                      | bio                        | text
 users                      | rating                     | numeric
 users                      | status_id                  | integer
 users                      | created_at                 | timestamp with time zone
 users                      | updated_at                 | timestamp with time zone
 users                      | last_login                 | timestamp with time zone
 users                      | is_active                  | boolean
 users                      | is_staff                   | boolean
 users                      | show_phone                 | boolean
 users                      | website_url                | character varying
 users                      | social_links               | jsonb
 vote_types                 | type_id                    | integer
 vote_types                 | type_name                  | character varying
(241 ёЄЁюър)
